customer_id,customer_segment,total_transactions,successful_transactions,failed_transactions,average_transaction_value,lifetime_value,preferred_payment_method,previous_recovery_successes,previous_recovery_failures
C0001,NORMAL,5,4,1,7544.73,30178.92,CARD,0,1
C0002,RELIABLE,28,25,3,1473.7,36842.5,UPI,2,1
C0003,NORMAL,6,4,2,783.07,3132.28,CARD,1,1
C0004,RELIABLE,24,22,2,752.09,16545.98,CARD,1,1
C0005,NORMAL,27,21,6,5676.94,119215.74,CARD,3,3
C0006,NORMAL,13,10,3,8189.59,81895.9,UPI,1,2
C0007,NORMAL,10,8,2,7132.32,57058.56,NETBANKING,1,1
C0008,RELIABLE,11,10,1,9593.52,95935.2,NETBANKING,0,1
C0009,RELIABLE,17,15,2,1418.81,21282.15,NETBANKING,1,1
C0010,NORMAL,30,24,6,912.78,21906.72,WALLET,3,3
C0011,NORMAL,17,13,4,1248.6,16231.8,NETBANKING,2,2
C0012,RISKY,24,14,10,8911.79,124765.06,NETBANKING,3,7
C0013,NORMAL,27,21,6,1160.77,24376.17,CARD,3,3
C0014,NORMAL,7,5,2,8625.52,43127.6,UPI,1,1
C0015,NORMAL,19,15,4,6539.0,98085.0,NETBANKING,2,2
C0016,RELIABLE,16,14,2,2490.32,34864.48,NETBANKING,1,1
C0017,NORMAL,26,20,6,6656.34,133126.8,CARD,3,3
C0018,NORMAL,12,9,3,2052.32,18470.88,WALLET,1,2
C0019,RELIABLE,25,23,2,7037.54,161863.42,CARD,1,1
C0020,NORMAL,29,23,6,7872.0,181056.0,CARD,3,3
C0021,RISKY,30,18,12,3496.8,62942.4,NETBANKING,4,8
C0022,RELIABLE,23,21,2,8825.49,185335.29,NETBANKING,1,1
C0023,RELIABLE,20,18,2,4258.5,76653.0,WALLET,1,1
C0024,RELIABLE,9,8,1,2842.96,22743.68,NETBANKING,0,1
C0025,NORMAL,18,14,4,9029.32,126410.48,WALLET,2,2
C0026,NORMAL,9,7,2,5340.5,37383.5,UPI,1,1
